LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
19753-3,"Rat epithelium+Serum proteins+Urine proteins Ab.IgE",ACnc,Pt,Ser,Qn,,ALLERGY,2.73,ACTIVE,1,Both,,kIU/L,"Rat epithelium, serum proteins + urine proteins IgE Ab [Units/volume] in Serum",k[IU]/L,1.0l,false,"Rat epithelium+Serum proteins+Urine proteins Ab.IgE:ACnc:Pt:Ser:Qn:"
102975-0,"Rat epithelium+Serum proteins+Urine proteins Ab.IgE",PrThr,Pt,Ser,SemiQn,RAST,ALLERGY,2.75,ACTIVE,1,Observation,,,"Rat epithelium, serum proteins + urine proteins IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)",,2.75,false,"Rat epithelium+Serum proteins+Urine proteins Ab.IgE:PrThr:Pt:Ser:SemiQn:RAST"
99461-6,"Rat epithelium+Serum proteins+Urine proteins Ab.IgG",MCnc,Pt,Ser,Qn,,ALLERGY,2.72,ACTIVE,1,Both,,mg/L,"Rat epithelium, serum proteins + urine proteins IgG Ab [Mass/volume] in Serum",mg/L,2.72,false,"Rat epithelium+Serum proteins+Urine proteins Ab.IgG:MCnc:Pt:Ser:Qn:"
9744-4,"Beta globulin",MCnc,Pt,Urine,Qn,Electrophoresis,CHEM,2.73,ACTIVE,1,Observation,,g/L;g/dL,"Beta globulin [Mass/volume] in Urine by Electrophoresis",g/dL,1.0i,false,"Beta globulin:MCnc:Pt:Urine:Qn:Electrophoresis"
19602-2,Morphine.free,PrThr,Pt,Urine,Ord,Confirm,DRUG/TOX,2.56,ACTIVE,1,Both,,,"Morphine Free [Presence] in Urine by Confirmatory method",,1.0l,false,Morphine.free:PrThr:Pt:Urine:Ord:Confirm
46971-8,HYDROmorphone.free,MCnc,Pt,Urine,Qn,Confirm,DRUG/TOX,2.70,ACTIVE,1,Both,,ng/mL,"HYDROmorphone Free [Mass/volume] in Urine by Confirmatory method",ng/mL,2.19,false,HYDROmorphone.free:MCnc:Pt:Urine:Qn:Confirm
46973-4,oxyCODONE.free,MCnc,Pt,Urine,Qn,Confirm,DRUG/TOX,2.73,ACTIVE,1,Both,,ng/mL,"oxyCODONE Free [Mass/volume] in Urine by Confirmatory method",ng/mL,2.19,false,oxyCODONE.free:MCnc:Pt:Urine:Qn:Confirm
46975-9,oxyMORphone.free,MCnc,Pt,Urine,Qn,Confirm,DRUG/TOX,2.70,ACTIVE,1,Both,,ng/mL,"oxyMORphone Free [Mass/volume] in Urine by Confirmatory method",ng/mL,2.19,false,oxyMORphone.free:MCnc:Pt:Urine:Qn:Confirm
38525-2,"Protein fractions.oligoclonal bands",MCnc,Pt,Urine,Qn,Electrophoresis,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Oligoclonal bands [Mass/volume] in Urine by Electrophoresis",mg/dL,2.14,false,"Protein fractions.oligoclonal bands:MCnc:Pt:Urine:Qn:Electrophoresis"
87498-2,3-Methoxytyramine.free/Creatinine,SRto,24H,Urine,Qn,,CHEM,2.63,ACTIVE,1,Both,,"nmol/mmol creatinine","3-Methoxytyramine.free/Creatinine [Molar ratio] in 24 hour Urine",nmol/mmol{creat},2.63,false,3-Methoxytyramine.free/Creatinine:SRto:24H:Urine:Qn:
