LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
33355-9,"Urea nitrogen",SCnc,24H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Urea nitrogen [Moles/volume] in 24 hour Urine",mmol/L,2.09,false,"Urea nitrogen:SCnc:24H:Urine:Qn:"
12967-6,"Urea nitrogen",MCnc,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in 24 hour Urine",mg/dL,1.0j-a,false,"Urea nitrogen:MCnc:24H:Urine:Qn:"
14939-3,"Urea nitrogen",SRat,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mmol/24 H","Urea nitrogen [Moles/time] in 24 hour Urine",mmol/(24.h),1.0k,false,"Urea nitrogen:SRat:24H:Urine:Qn:"
14396-6,"Urea nitrogen",MCnc,Pt,"Synv fld",Qn,,CHEM,2.34,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Synovial fluid",mg/dL,1.0k,false,"Urea nitrogen:MCnc:Pt:Synv fld:Qn:"
3093-2,"Urea nitrogen",MCnc,Pt,"Body fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Body fluid",mg/dL,1.0,false,"Urea nitrogen:MCnc:Pt:Body fld:Qn:"
12968-4,"Urea nitrogen^4H specimen",MCnc,Pt,"Dial fld",Qn,,CHEM,2.42,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Dialysis fluid --4 hour specimen",mg/L,1.0j-a,false,"Urea nitrogen^4H specimen:MCnc:Pt:Dial fld:Qn:"
12969-2,"Urea nitrogen^baseline",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.42,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --baseline",mg/L,1.0j-a,false,"Urea nitrogen^baseline:MCnc:Pt:Dial fld prt:Qn:"
54051-8,"HEDIS 2009 Codes to identify physiologic monitoring tests - Blood urea nitrogen (BUN) (MPM-A)",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,,,,"HEDIS 2009 Codes to identify physiologic monitoring tests - Blood urea nitrogen (BUN) (MPM-A)",,2.26,false,"HEDIS 2009 Codes to identify physiologic monitoring tests - Blood urea nitrogen (BUN) (MPM-A):-:Pt:^Patient:-:"
57810-4,"HEDIS 2010, 2011 Codes to identify physiologic monitoring tests - Blood urea nitrogen (BUN) (MPM-A)",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,,,,"HEDIS 2010, 2011 Codes to identify physiologic monitoring tests - Blood urea nitrogen (BUN) (MPM-A)",,2.29,false,"HEDIS 2010, 2011 Codes to identify physiologic monitoring tests - Blood urea nitrogen (BUN) (MPM-A):-:Pt:^Patient:-:"
67763-3,"HEDIS 2012, 2013 Codes to identify physiologic monitoring tests - Blood urea nitrogen (BUN) (MPM-A)",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,,,,"HEDIS 2012, 2013 Codes to identify physiologic monitoring tests - Blood urea nitrogen (BUN) (MPM-A)",,2.38,false,"HEDIS 2012, 2013 Codes to identify physiologic monitoring tests - Blood urea nitrogen (BUN) (MPM-A):-:Pt:^Patient:-:"
