LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
39783-6,Urea/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mmol/mol creatinine","Urea/Creatinine [Molar ratio] in Serum or Plasma",mmol/mol{creat},2.15,false,Urea/Creatinine:SRto:Pt:Ser/Plas:Qn:
104540-0,Guanidinoacetate/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.78,ACTIVE,1,Both,,"umol/mmol creatinine","Guanidinoacetate/Creatinine [Molar ratio] in Serum or Plasma",umol/mmol{creat},2.78,false,Guanidinoacetate/Creatinine:SRto:Pt:Ser/Plas:Qn:
103616-9,Creatinine,SCnc,Pt,Ser/Plas,Qn,LC/MS/MS,CHEM,2.77,ACTIVE,1,Both,,umol/L,"Creatinine [Moles/volume] in Serum or Plasma by LC/MS/MS",umol/L,2.77,false,Creatinine:SCnc:Pt:Ser/Plas:Qn:LC/MS/MS
16189-3,"Creatinine^4H specimen",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.34,ACTIVE,1,Observation,,mg/dL,"Creatinine [Mass/volume] in Serum or Plasma --4 hour specimen",mg/dL,1.0l,false,"Creatinine^4H specimen:MCnc:Pt:Ser/Plas:Qn:"
11042-9,"Creatinine^pre dialysis",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mg/dL,"Creatinine [Mass/volume] in Serum or Plasma --pre dialysis",mg/dL,1.0j-a,false,"Creatinine^pre dialysis:MCnc:Pt:Ser/Plas:Qn:"
51619-5,"Creatinine^pre dialysis",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Creatinine [Moles/volume] in Serum or Plasma --pre dialysis",mmol/L,2.24,false,"Creatinine^pre dialysis:SCnc:Pt:Ser/Plas:Qn:"
44784-7,Creatinine,MCnc,Stdy^max,Ser/Plas,Qn,,CHEM,2.54,ACTIVE,1,Observation,,mg/dL,"Creatinine [Mass/volume] (Maximum value during study) in Serum or Plasma",mg/dL,2.17,false,Creatinine:MCnc:Stdy^max:Ser/Plas:Qn:
77140-2,Creatinine,SCnc,Pt,Ser/Plas/Bld,Qn,,CHEM,2.68,ACTIVE,1,Both,,umol/L,"Creatinine [Moles/volume] in Serum, Plasma or Blood",umol/L,2.52,false,Creatinine:SCnc:Pt:Ser/Plas/Bld:Qn:
80167-0,2-Amino-4-hydroxypteridine/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.54,ACTIVE,1,Both,,"nmol/mmol creatinine","2-Amino-4-hydroxypteridine/Creatinine [Molar ratio] in Serum or Plasma",nmol/mmol{creat},2.54,false,2-Amino-4-hydroxypteridine/Creatinine:SRto:Pt:Ser/Plas:Qn:
1810-1,Amylase/Creatinine,MRto,Pt,Ser/Plas,Qn,,CHEM,2.44,ACTIVE,1,Observation,,"ug/g creatinine","Amylase/Creatinine [Mass Ratio] in Serum or Plasma",ug/g{creat},1.0,false,Amylase/Creatinine:MRto:Pt:Ser/Plas:Qn:
31045-8,"Creatinine/Urea nitrogen",MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,,"Creatinine/Urea nitrogen [Mass Ratio] in Serum or Plasma",,2.07,false,"Creatinine/Urea nitrogen:MRto:Pt:Ser/Plas:Qn:"
11041-1,"Creatinine^post dialysis",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mg/dL,"Creatinine [Mass/volume] in Serum or Plasma --post dialysis",mg/dL,1.0j-a,false,"Creatinine^post dialysis:MCnc:Pt:Ser/Plas:Qn:"
51620-3,"Creatinine^post dialysis",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Creatinine [Moles/volume] in Serum or Plasma --post dialysis",mmol/L,2.24,false,"Creatinine^post dialysis:SCnc:Pt:Ser/Plas:Qn:"
62425-4,"Creatinine^post XXX challenge",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,umol/L,"Creatinine [Moles/volume] in Serum or Plasma --post XXX challenge",umol/L,2.36,false,"Creatinine^post XXX challenge:SCnc:Pt:Ser/Plas:Qn:"
72271-0,"Creatinine^pre contrast",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,ACTIVE,1,Both,,mg/dL,"Creatinine [Mass/volume] in Serum or Plasma --pre contrast",mg/dL,2.42,false,"Creatinine^pre contrast:MCnc:Pt:Ser/Plas:Qn:"
39955-0,"Creatinine^pre XXX challenge",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Creatinine [Mass/volume] in Serum or Plasma --pre XXX challenge",mg/dL,2.15,false,"Creatinine^pre XXX challenge:MCnc:Pt:Ser/Plas:Qn:"
40112-5,"Creatinine^pre XXX challenge",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,umol/L,"Creatinine [Moles/volume] in Serum or Plasma --pre XXX challenge",umol/L,2.15,false,"Creatinine^pre XXX challenge:SCnc:Pt:Ser/Plas:Qn:"
33914-3,"Glomerular filtration rate",ArVRat,Pt,Ser/Plas,Qn,"Creatinine-based formula (MDRD)/1.73 sq M",CHEM,2.79,DISCOURAGED,1,Both,,"mL/min; ml/min/1.73m2","Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M",mL/min/{1.73_m2},2.09,false,"Glomerular filtration rate:ArVRat:Pt:Ser/Plas:Qn:Creatinine-based formula (MDRD)/1.73 sq M"
101177-4,Metanephrine.free/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.75,ACTIVE,1,Both,,umol/mol,"Metanephrine Free/Creatinine [Molar ratio] in Serum or Plasma",umol/mol,2.74,false,Metanephrine.free/Creatinine:SRto:Pt:Ser/Plas:Qn:
101176-6,Normetanephrine.free/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.75,ACTIVE,1,Both,,umol/mol,"Normetanephrine Free/Creatinine [Molar ratio] in Serum or Plasma",umol/mol,2.74,false,Normetanephrine.free/Creatinine:SRto:Pt:Ser/Plas:Qn:
16188-5,"Creatinine^2H specimen",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mg/dL,"Creatinine [Mass/volume] in Serum or Plasma --2 hour specimen",mg/dL,1.0l,false,"Creatinine^2H specimen:MCnc:Pt:Ser/Plas:Qn:"
