LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
33794-9,"Calcium^8th specimen post XXX challenge",SCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --8th specimen post XXX challenge",mmol/L,2.09,false,"Calcium^8th specimen post XXX challenge:SCnc:Pt:Urine:Qn:"
33789-9,"Calcium^10th specimen post XXX challenge",SCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --10th specimen post XXX challenge",mmol/L,2.09,false,"Calcium^10th specimen post XXX challenge:SCnc:Pt:Urine:Qn:"
33791-5,"Calcium^5th specimen post XXX challenge",SCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --5th specimen post XXX challenge",mmol/L,2.09,false,"Calcium^5th specimen post XXX challenge:SCnc:Pt:Urine:Qn:"
16521-7,"Calcium^3rd specimen post XXX challenge",SCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --3rd specimen post XXX challenge",mmol/L,1.0l,false,"Calcium^3rd specimen post XXX challenge:SCnc:Pt:Urine:Qn:"
33795-6,"Calcium^9th specimen post XXX challenge",SCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --9th specimen post XXX challenge",mmol/L,2.09,false,"Calcium^9th specimen post XXX challenge:SCnc:Pt:Urine:Qn:"
5776-0,"Calcium sulfate crystals",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.73,ACTIVE,1,Observation,,,"Calcium sulfate crystals [Presence] in Urine sediment by Light microscopy",,1.0,false,"Calcium sulfate crystals:PrThr:Pt:Urine sed:Ord:Microscopy.light"
38993-2,"Calcium oxalate dihydrate crystals",PrThr,Pt,"Urine sed",Ord,,UA,2.73,ACTIVE,1,Observation,,,"Calcium oxalate dihydrate crystals [Presence] in Urine sediment",,2.15,false,"Calcium oxalate dihydrate crystals:PrThr:Pt:Urine sed:Ord:"
101931-4,"Calcium oxalate crystals",EngDiff,Pt,Urine,Qn,,CHEM,2.75,ACTIVE,1,Both,,kJ/mol,"Calcium oxalate crystals [Energy Difference] in Urine",kJ/mol,2.75,false,"Calcium oxalate crystals:EngDiff:Pt:Urine:Qn:"
81623-1,"Calcium oxalate",EngDiff,24H,Urine,Qn,,CHEM,2.56,ACTIVE,1,Both,,kJ/mol,"Calcium oxalate [Energy Difference] in 24 hour Urine",kJ/mol,2.56,false,"Calcium oxalate:EngDiff:24H:Urine:Qn:"
5773-7,"Calcium carbonate crystals",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.73,ACTIVE,1,Observation,,,"Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy",,1.0,false,"Calcium carbonate crystals:PrThr:Pt:Urine sed:Ord:Microscopy.light"
